iter	Passed	Remaining
1532	54077	16473
1533	54115	16439
1534	54150	16403
1535	54184	16368
1536	54217	16332
1537	54251	16296
1538	54283	16260
1539	54318	16225
1540	54354	16190
1541	54388	16154
1542	54421	16118
1543	54457	16083
1544	54494	16048
1545	54550	16019
1546	54592	15986
1547	54631	15951
1548	54671	15917
1549	54709	15883
1550	54744	15848
1551	54782	15813
1552	54812	15776
1553	54845	15740
1554	54878	15704
1555	54909	15668
1556	54949	15634
1557	54985	15599
1558	55019	15563
1559	55052	15527
1560	55095	15494
1561	55132	15459
1562	55167	15424
1563	55201	15388
1564	55233	15352
1565	55271	15317
1566	55304	15281
1567	55338	15246
1568	55372	15210
1569	55403	15174
1570	55439	15139
1571	55476	15104
1572	55511	15068
1573	55545	15033
1574	55594	15001
1575	55630	14966
1576	55665	14931
1577	55699	14895
1578	55735	14860
1579	55766	14824
1580	55799	14788
1581	55835	14753
1582	55871	14717
1583	55905	14682
1584	55939	14646
1585	55970	14610
1586	56008	14575
1587	56044	14540
1588	56084	14506
1589	56119	14470
1590	56152	14435
1591	56187	14399
1592	56222	14364
1593	56256	14328
1594	56294	14294
1595	56328	14258
1596	56362	14223
1597	56398	14187
1598	56429	14151
1599	56462	14115
1600	56497	14080
1601	56533	14045
1602	56569	14010
1603	56627	13980
1604	56661	13944
1605	56697	13909
1606	56741	13876
1607	56784	13842
1608	56813	13806
1609	56851	13771
1610	56892	13737
1611	56933	13703
1612	56970	13668
1613	57009	13634
1614	57043	13598
1615	57078	13563
1616	57109	13526
1617	57142	13490
1618	57177	13455
1619	57213	13420
1620	57251	13385
1621	57287	13350
1622	57321	13314
1623	57350	13278
1624	57387	13243
1625	57420	13207
1626	57454	13171
1627	57491	13136
1628	57525	13101
1629	57558	13065
1630	57591	13029
1631	57629	12994
1632	57676	12962
1633	57711	12926
1634	57744	12890
1635	57777	12855
1636	57816	12820
1637	57851	12785
1638	57884	12749
1639	57917	12713
1640	57957	12679
1641	57990	12643
1642	58023	12607
1643	58052	12571
1644	58085	12535
1645	58120	12499
1646	58154	12464
1647	58190	12429
1648	58224	12393
1649	58259	12358
1650	58293	12322
